ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Power,Coal,Dhaulasidh Hydro Electric Project [66 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),159,Himachal Pradesh,10/2020,05/2021,11/2025,03/2027,687.97,1763.31,1275.68,80.69,156.30623428347164,2026-07
Ministry of Coal,Coal,TILABONI UG,(ECL - CIL),132,West Bengal,01/2023,01/2023,03/2029,,749.08,749.07,53.97,12.14,-0.0013349708976332173,2026-07
Ministry of Coal,Coal,NLC Talabira Thermal Power Project,(NLC India Limited),143,Odisha,01/2017,01/2024,03/2030,,27212.96,27212.96,3574.21,4.1,0.0,2026-07
Ministry of Power,Coal,Badam Coal Mining project of NTPC,(National Thermal Power Corporation [NTPC]),148,Jharkhand,02/2019,09/2019,12/2056,04/2027,502.0,784.0,438.57,67.86,56.17529880478087,2026-07
Ministry of Power,Coal,Kalai-II Hydro Electric Project [1200 MW],(THDC India Limited),153,Arunachal Pradesh,04/2026,04/2026,10/2032,,14105.83,14105.83,189.68,0.0,0.0,2026-07
Ministry of Power,Coal,Buxar Thermal Power Project [1320 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),154,Bihar,03/2019,06/2019,01/2024,05/2026,10439.09,13756.56,13731.77,95.01,31.779302602046723,2026-07
Ministry of Power,Coal,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",(National Thermal Power Corporation [NTPC]),155,Bihar,11/2024,03/2025,07/2030,07/2030,29948.0,29948.0,3422.25,15.0,0.0,2026-07
Ministry of Power,Coal,Lara Super Thermal Power Project Stage-II [2 x 800 MW],(National Thermal Power Corporation [NTPC]),156,Chhattisgarh,08/2023,08/2023,06/2028,11/2028,15530.0,16106.0,5472.13,33.5,3.708950418544752,2026-07
Ministry of Power,Coal,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",(National Thermal Power Corporation [NTPC]),157,Chhattisgarh,09/2024,09/2024,09/2029,11/2029,9791.0,9791.0,1910.55,22.31,0.0,2026-07
Ministry of Coal,Coal,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],(Ministry of Coal),146,Jharkhand,02/2018,05/2022,06/2025,06/2027,1799.64,2564.34,1784.77,72.0,42.49183169967326,2026-07
Ministry of Power,Coal,Tubed Coal Mine,(Damodar Valley Corporation),147,Jharkhand,07/2016,10/2016,05/2026,12/2026,1581.0,1581.0,624.86,37.0,0.0,2026-07
Ministry of Coal,Coal,NAKRAKONDA KUMARDIH- B OCP,(ECL - CIL),131,West Bengal,08/2018,08/2018,03/2029,,502.68,502.67,88.9,28.58,-0.0019893371528588574,2026-07
Ministry of Power,Coal,Bagodara Solar Power Project,(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),158,Gujarat,03/2021,05/2021,12/2025,12/2025,339.35,339.35,370.0,51.86,0.0,2026-07
Ministry of Coal,Coal,MAKARDHOKRA EXPN OC 4.9 MTY,(WCL - CIL),89,Maharashtra,06/2022,06/2022,03/2026,03/2027,361.87,361.87,104.17,12.2,0.0,2026-07
Ministry of Power,Coal,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",(National Thermal Power Corporation [NTPC]),168,Madhya Pradesh,11/2024,05/2025,03/2030,03/2030,20446.0,20446.0,2329.76,11.5,0.0,2026-07
Ministry of Power,Coal,"Darlipali Super Thermal Power Project, Stage-II [1x800 MW]",(National Thermal Power Corporation [NTPC]),171,Odisha,11/2025,11/2025,01/2031,05/2031,11131.0,11131.0,566.2,2.7,0.0,2026-07
Ministry of Power,Coal,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",(National Hydroelectric Power Corporation Limited [NHPC]),172,Sikkim,03/2019,03/2020,03/2024,09/2029,5748.04,5748.04,4572.68,73.78,0.0,2026-07
Ministry of Power,Coal,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,(National Hydroelectric Power Corporation Limited [NHPC]),173,Sikkim,03/2021,08/2021,05/2024,11/2026,938.29,1828.11,1718.16,97.56,94.83421969753488,2026-07
Ministry of Power,Coal,"Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]",(National Thermal Power Corporation [NTPC]),174,Telangana,03/2026,03/2026,01/2032,,29344.85,29344.85,732.96,0.97,0.0,2026-07
Ministry of Power,Coal,"Meja Thermal Power Project, Stage-II , (3x800 MW)",(National Thermal Power Corporation [NTPC]),175,Uttar Pradesh,06/2026,06/2026,12/2032,,38358.0,38358.0,1002.73,0.02,0.0,2026-07
Ministry of Power,Coal,Sunni Dam Hydro Electric Project [382 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),161,Himachal Pradesh,01/2023,01/2023,04/2028,12/2029,2614.51,4555.49,1152.21,34.66,74.23876749371773,2026-07
Ministry of Power,Coal,Luhri Stage-I Hydro Electric Project [210 MW],(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited),160,Himachal Pradesh,11/2020,11/2020,01/2026,05/2030,1810.56,4345.31,1980.59,52.13,139.99812212796044,2026-07
Ministry of Power,Coal,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]",(National Thermal Power Corporation [NTPC]),176,Uttar Pradesh,03/2024,03/2024,02/2030,04/2030,17195.0,17195.0,3840.48,25.0,0.0,2026-07
Ministry of Power,Coal,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",(Damodar Valley Corporation),179,West Bengal,01/2023,02/2025,08/2029,,17673.0,17673.0,2268.62,13.0,0.0,2026-07
Ministry of Power,Coal,Rammam-III HEPP [3x40 MW],(National Thermal Power Corporation [NTPC]),180,West Bengal,09/2014,09/2014,09/2019,09/2029,1381.84,2865.56,1690.73,57.86,107.37277832455278,2026-07
Ministry of Power,Coal,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,(Damodar Valley Corporation),181,West Bengal,06/2019,02/2021,01/2024,09/2026,1037.0,1106.0,1143.06,97.0,6.653809064609451,2026-07
Ministry of Power,Coal,North Eastern Region Expansion Scheme-XXIII [NERES-XXIII],(Power Grid Corporation of India Limited [POWERGRID]),183,Arunachal Pradesh,08/2025,08/2025,02/2028,,209.38,209.38,3.14,3.89,0.0,2026-07
Ministry of Power,Coal,Transmission system for evacuation of Power from REZ in Rajasthan [20 GW] under phase-III Part-D Phase-II,(Power Grid Corporation of India Limited [POWERGRID]),184,Delhi,11/2023,10/2024,02/2026,12/2026,284.0,284.0,90.88,45.94,0.0,2026-07
Ministry of Power,Coal,Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,(Power Grid Corporation of India Limited [POWERGRID]),186,Gujarat,05/2024,05/2024,05/2026,09/2026,697.0,697.0,592.45,82.0,0.0,2026-07
Ministry of Power,Coal,Tapovan-Vishnugad HEP [4x130 MW],(National Thermal Power Corporation [NTPC]),177,Uttarakhand,11/2006,11/2006,03/2013,07/2029,2978.0,10907.3,7827.81,76.07,266.2625923438549,2026-07
Ministry of Power,Coal,Vishnugad Pipalkoti Hydro Electric Project [444 MW],(THDC India Limited),178,Uttarakhand,08/2008,01/2014,12/2022,06/2028,3860.35,6405.08,5832.69,81.5,65.91967049619853,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",(Bharat Petroleum Corporation Limited [BPCL]),416,Rajasthan,12/2022,12/2022,06/2030,,3207.0,3207.0,429.3,31.1,0.0,2026-07
Ministry of Power,Coal,Network Expansion Scheme in Maharashtra for removal of Transmission constraints in Pune Region-I [765/400kV AIS Pune East],(Power Grid Corporation of India Limited [POWERGRID]),214,Maharashtra,03/2026,03/2026,03/2028,,1420.0,1420.0,38.9,3.92,0.0,2026-07
Ministry of Power,Coal,Jamnagar Transmission Limited,(Adani Transmission Limited),193,Gujarat,10/2024,10/2024,10/2026,09/2027,4000.0,4000.0,698.0,24.0,0.0,2026-07
Ministry of Power,Coal,KPSIII HVDC Transmission Limited,(Adani Transmission Limited),195,Gujarat,12/2025,12/2025,12/2029,,19000.0,19000.0,20.0,1.0,0.0,2026-07
Ministry of Power,Coal,Transmission System for Reliable Power Supply to Dholera,(Power Grid Corporation of India Limited [POWERGRID]),196,Gujarat,09/2024,09/2024,03/2026,12/2026,319.42,319.42,70.27,35.2,0.0,2026-07
Ministry of Power,Coal,Khavda IVA Power Transmission Limited,(Adani Transmission Limited),197,Gujarat,08/2024,08/2024,08/2026,03/2027,4500.0,4500.0,2772.7,70.0,0.0,2026-07
Ministry of Power,Coal,Transmission System Strengthening at Davanagere for Integration of RE Generation [SPV Name - POWERGRID Davanagere Power Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),204,Karnataka,09/2025,09/2025,09/2027,,379.0,379.0,17.06,2.5,0.0,2026-07
Ministry of Power,Coal,Transmission System Strengthening for integration of additional RE Potential at Davanagere [0.25 GW] and Bellary [2.75 GW],(Power Grid Corporation of India Limited [POWERGRID]),205,Karnataka,02/2026,02/2026,02/2028,,1111.0,1111.0,22.22,1.0,0.0,2026-07
Ministry of Power,Coal,Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in Kerala,(Power Grid Corporation of India Limited [POWERGRID]),206,Kerala,08/2025,08/2025,08/2027,12/2027,173.14,173.14,2.08,1.5,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Surat Metro Rail Project,(Gujarat Metro Rail Corporation Limited [GMRCL]),254,Gujarat,03/2019,03/2019,03/2024,03/2027,12020.32,12020.32,9332.21,81.9,0.0,2026-07
Ministry of Power,Coal,WRNES Talegaon Power Transmission Limited,(Adani Transmission Limited),213,Maharashtra,05/2025,05/2025,01/2028,,2000.0,2000.0,25.0,5.0,0.0,2026-07
Ministry of Power,Coal,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],(Power Grid Corporation of India Limited [POWERGRID]),237,Rajasthan,12/2023,12/2023,12/2025,04/2027,4741.0,4741.0,3887.62,79.39,0.0,2026-07
Ministry of Power,Coal,Transmission System under ISTS for evacuation of Power from Kudankulam Unit-3&4 [2x1000 MW] [SPV Name POWERGRID Kudankulam Tarnsmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),243,Tamil Nadu,01/2025,01/2025,12/2026,03/2027,548.0,548.0,208.24,23.78,0.0,2026-07
Ministry of Power,Coal,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,(Power Grid Corporation of India Limited [POWERGRID]),244,Uttar Pradesh,12/2024,12/2024,06/2026,12/2026,212.81,212.81,12.76,12.07,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Rehablitation in Junavadaj Area Smart City Project,(ministry of housing and urban affairs),248,Gujarat,02/2016,06/2016,07/2022,07/2026,539.0,539.0,623.44,98.5,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Green Building Development Project,(ministry of housing and urban affairs),249,Uttarakhand,11/2019,08/2019,11/2023,12/2026,150.97,206.0,59.51,40.3,36.45095051997085,2026-07
Ministry of Housing & Urban Affairs,Construction,Delhi Metro Rail Phase-IV [2 Corridors],(Delhi Metro Rail Corporation Limited [DMRC]),251,Delhi,03/2024,03/2024,03/2029,,8399.81,8399.81,183.23,4.31,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Delhi Metro Rail Phase V A,(Delhi Metro Rail Corporation Limited [DMRC]),252,Delhi,01/2026,01/2026,12/2028,,12014.91,12014.91,264.98,5.65,0.0,2026-07
Ministry of Power,Coal,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,(Power Grid Corporation of India Limited [POWERGRID]),194,Gujarat,03/2025,03/2025,12/2026,06/2027,581.74,581.74,17.45,7.2,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,DMRTS Phase - IV [3 Priority Corridors],(Delhi Metro Rail Corporation Limited [DMRC]),253,Delhi,07/2019,07/2019,03/2025,12/2026,24948.65,24948.65,21420.76,83.46,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka Expressway, Gurugram.",(Gurugram Metro Rail Limited [GMRL]),255,Haryana,07/2023,08/2024,07/2027,,5452.72,5452.72,193.32,10.05,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Chennai Metro Rail Phase-II Development Project,(Chennai Metro Rail Limited [CMRL]),275,Tamil Nadu,10/2024,11/2020,08/2029,,63246.0,63246.0,34698.0,55.73,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Construction Bangalore Metro Rail Project Phase-2A & 2B,(Bengaluru Metro Rail),258,Karnataka,06/2021,01/2019,06/2026,06/2026,14788.1,14788.1,10878.48,67.5,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Kochi Metro Rail Phase 2 Development Project,(CSPCC Projects),259,Kerala,11/2022,11/2022,11/2026,11/2026,1957.05,1957.05,816.8,41.2,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Bhopal Metro Rail Project,(Madhya Pradesh Metro Rail Co Limited [MPMRCL]),260,Madhya Pradesh,11/2018,11/2018,11/2022,06/2028,6941.4,6941.4,4498.76,62.7,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Indore Metro Rail Project,(Madhya Pradesh Metro Rail Co Limited [MPMRCL]),261,Madhya Pradesh,11/2018,11/2018,11/2022,12/2028,7500.8,7500.8,5093.95,65.48,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,PCMC To Nigdi- Extension Of North South Corridor Of Phase-1,(Maharashtra Metro Rail Corporation Limited [MMRCL]),262,Maharashtra,10/2023,10/2023,01/2027,,910.18,960.18,322.59,49.12,5.493418884176757,2026-07
Ministry of Housing & Urban Affairs,Construction,Pune Metro Phase-1 Extension line towards south from Swargate to Katraj,(Maharashtra Metro Rail Corporation Limited [MMRCL]),263,Maharashtra,09/2024,09/2024,03/2029,,2954.53,2954.53,190.07,9.04,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Bangalore Metro Rail Project - PHASE-3,(Bengaluru Metro Rail),256,Karnataka,09/2024,06/2026,05/2031,,15611.0,15611.0,0.0,3.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,(Indian Oil Corporation Limited [IOCL]),415,Rajasthan,07/2011,07/2011,06/2024,,7392.0,7392.0,6360.86,90.2,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Thane Integral Ring Metro Rail Project,(Maharashtra Metro Rail Corporation Limited [MMRCL]),264,Maharashtra,09/2024,09/2024,09/2029,,12200.1,12200.1,101.17,10.04,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,New Suburba Station Development Project,(ministry of housing and urban affairs),267,Maharashtra,04/2018,03/2019,07/2022,,262.76,262.76,163.21,48.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Kalyan Station Precinct Imporvement Project,(ministry of housing and urban affairs),268,Maharashtra,04/2018,07/2020,07/2023,06/2026,600.0,723.7,530.04,85.0,20.616666666666674,2026-07
Ministry of Housing & Urban Affairs,Construction,Mumbai Metro Line 3,(Mumbai Metro Rail Corporation Limited [MMRC]),269,Maharashtra,07/2013,06/2016,03/2023,08/2025,23136.0,37276.0,35959.97,99.21,61.11687413554634,2026-07
Ministry of Housing & Urban Affairs,Construction,Nagpur Metro Rail Phase II Development Project,(Maharashtra Metro Rail Corporation Limited [MMRCL]),270,Maharashtra,12/2022,12/2022,12/2027,,6708.0,6708.0,2161.73,42.11,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Rajasthan Metro Rail Project Phase 1C from Badi Chaupar to Transport Nagar via Galta Gate,(Jaipur Metro Rail Corporation),273,Rajasthan,10/2025,09/2023,04/2027,,980.08,980.08,103.03,0.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Jaipur Metro Phase 1D Project from Mansarovar to Ajmer Road Chauraha,(Jaipur Metro Rail Corporation),274,Rajasthan,05/2026,12/2023,03/2026,,204.81,204.81,23.34,12.48,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Pune Metro Rail Project Phase-2 Corridor 2A Vanaz to Chandani Chowk and Corridor 2B Ramwadi to Wagholi/Vitthalwadi,(Maharashtra Metro Rail Corporation Limited [MMRCL]),265,Maharashtra,07/2025,07/2025,07/2029,,3626.24,3626.24,16.17,2.4,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Pune Metro Rail Project Phase-2 Line-4 Kharadi to Khadakwasla with Spur Line 4A Nal Stop - Warje - Manikbaug,(Maharashtra Metro Rail Corporation Limited [MMRCL]),266,Maharashtra,12/2025,12/2025,12/2030,,9857.85,9857.85,8.62,1.51,0.0,2026-07
Ministry of Power,Coal,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],(Power Grid Corporation of India Limited [POWERGRID]),192,Gujarat,02/2025,02/2025,11/2026,06/2027,488.29,488.29,14.64,7.2,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,"Extension of Aqua Line Metro Corridor from Noida Sector-142 station to Botanical Garden, Noida of Noida Metro Rail Corporation",(Noida Metro Rail Corporation Ltd. [NMRCL]),276,Uttar Pradesh,03/2026,03/2026,03/2030,,2254.35,2254.35,0.0,0.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Kanpur Metro Rail Project,(Uttar Pradesh metro rail corporation [UPMRC]),278,Uttar Pradesh,05/2019,11/2019,05/2024,03/2027,11076.48,11076.48,9463.15,83.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Agra Metro Rail Project,(Uttar Pradesh metro rail corporation [UPMRC]),279,Uttar Pradesh,05/2019,12/2020,05/2024,06/2027,8379.62,8379.62,6368.28,73.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Muzaffarpur Storm Water Drainage Phase-I Project,(Ministry of Housing & Urban Affairs),281,Bihar,11/2016,02/2019,10/2023,06/2026,158.78,158.78,135.72,85.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Sewerage Management Scheme Part-3 Implementation,(Ministry of Housing & Urban Affairs),282,Haryana,03/2017,11/2017,09/2023,09/2026,278.01,278.01,228.49,88.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Dhanbad Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),283,Jharkhand,02/2017,12/2018,03/2023,06/2026,216.55,216.55,129.16,76.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,SAAP-3 Water Supply Infrastructure SAAP-3 Project,(Ministry of Housing & Urban Affairs),284,Jharkhand,02/2017,12/2018,10/2023,06/2026,159.31,159.31,87.5,67.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3,(Ministry of Housing & Urban Affairs),285,Jharkhand,02/2017,12/2018,03/2023,06/2026,278.28,278.28,186.5,81.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Belgavi Improvement in Sewerage System Project,(Ministry of Housing & Urban Affairs),286,Karnataka,12/2015,10/2016,07/2023,06/2026,162.73,162.73,79.5,80.0,0.0,2026-07
Ministry of Mines,Construction,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,(National Aluminium Company Limited [NALCO]),297,Odisha,04/2017,04/2017,12/2022,06/2026,4103.0,5677.4,5023.49,95.64,38.371922983183026,2026-07
Ministry of Mines,Construction,Pottangi Bauxite Mines Project,(National Aluminium Company Limited [NALCO]),298,Odisha,05/2018,05/2018,03/2025,11/2026,1381.0,1960.77,770.37,52.4,41.981897175959446,2026-07
Ministry of Housing & Urban Affairs,Construction,Singrauli Sewerage Management and Treatment Infrastructure Project,(Ministry of Housing & Urban Affairs),289,Madhya Pradesh,05/2016,11/2017,03/2023,06/2026,402.01,438.1,371.17,90.0,8.977388622173587,2026-07
Ministry of Housing & Urban Affairs,Construction,Kalyan-Dombivali Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),290,Maharashtra,07/2016,09/2019,10/2023,08/2026,194.2,194.2,136.56,75.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Jalandhar Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),291,Punjab,11/2016,08/2020,08/2023,08/2026,258.53,266.64,161.02,90.0,3.1369666963215157,2026-07
Ministry of Housing & Urban Affairs,Construction,Patiala Water Supply Infrastructure Part-2 Project,(Ministry of Housing & Urban Affairs),292,Punjab,11/2016,08/2020,10/2023,08/2026,287.0,287.0,213.64,99.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Jhansi Water Supply Infrastructure Phase-II Project,(Ministry of Housing & Urban Affairs),293,Uttar Pradesh,03/2017,06/2019,07/2023,08/2026,561.74,561.74,506.52,95.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Lucknow Sewerage Management Infrastructure Project,(Ministry of Housing & Urban Affairs),294,Uttar Pradesh,09/2016,05/2019,03/2023,08/2026,142.46,173.21,152.65,95.0,21.585006317562826,2026-07
Ministry of Mines,Construction,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata",(Central Public Works Department [CPWD]),295,West Bengal,04/2019,02/2020,08/2026,,255.37,255.37,98.94,64.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Indore Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),287,Madhya Pradesh,12/2016,11/2017,03/2023,06/2026,287.17,287.17,252.5,99.0,0.0,2026-07
Ministry of Housing & Urban Affairs,Construction,Construction of Bangalore Metro Rail Project Phase 2.,(Bengaluru Metro Rail),257,Karnataka,02/2014,02/2016,03/2021,09/2026,26405.14,30695.12,29834.97,95.8,16.246761047280945,2026-07
Ministry of Mines,Construction,SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES,(National Aluminium Company Limited [NALCO]),299,Odisha,11/2017,11/2019,05/2025,06/2026,483.0,483.0,453.89,93.18,0.0,2026-07
Ministry of Mines,Construction,Establishment of NIT Nagaland,(NIT Nagaland),318,Nagaland,09/2009,12/2014,12/2025,,275.63,275.63,263.25,98.0,0.0,2026-07
Ministry of Mines,Construction,Tezpur University Projects,(Tezpur University),303,Assam,05/2019,06/2021,11/2023,12/2025,153.71,153.71,266.14,97.98,0.0,2026-07
Ministry of Mines,Construction,Additional Campus of NITPatna,(NIT Patna),304,Bihar,07/2022,08/2022,07/2024,01/2026,499.21,499.21,449.96,98.6,0.0,2026-07
Ministry of Mines,Construction,Phase B Construction of Permanent Campus of IIT Bhilai,"(Indian Institute of Technology, Bhilai)",305,Chhattisgarh,05/2025,01/2026,10/2028,,1188.97,1188.97,1.92,0.0,0.0,2026-07
Ministry of Mines,Construction,"Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.",(Central University of Gujarat),308,Gujarat,12/2020,02/2021,03/2025,03/2026,490.63,490.63,342.26,86.0,0.0,2026-07
Ministry of Mines,Construction,Establishment of Permanent campus Phase 1 of IIM Sirmaur,"(Indian Institute of Management, Sirmaur)",309,Himachal Pradesh,09/2018,08/2020,10/2023,08/2026,392.51,454.78,339.65,98.6,15.864563960153877,2026-07
Ministry of Mines,Construction,Hostel blocks & dining hall block,"(Indian Institute of Technology, Mandi)",310,Himachal Pradesh,03/2023,03/2024,03/2026,09/2026,166.66,166.66,138.26,93.0,0.0,2026-07
Ministry of Mines,Construction,Phase B of Construction of Permanent Campus of IIT Palakkad,(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD),314,Kerala,05/2025,01/2026,10/2028,,1527.0,1527.0,9.8,0.0,0.0,2026-07
